"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ASTE1",-0.610978788045917,6.53558355197106,-8.10774956200925,5.63066256565346e-14,1.20932101168132e-11,21.2751489693016,"No"
"WARS1",1.70193857068234,10.373661139015,8.10284943591667,5.80290942432034e-14,1.23305651958909e-11,21.2459110681905,"Upregulated"
"TGFA",-0.627291849602127,7.56613251192547,-8.06822217281173,7.17820320734367e-14,1.50923611435245e-11,21.0395435054815,"No"
"STAT1",1.09005375461365,10.9160246125683,8.06629694378315,7.26349998027971e-14,1.51126196464695e-11,21.0280823990094,"Upregulated"
"MT1P3",-1.04770154332131,8.82269552009626,-8.04998377152564,8.02773028779753e-14,1.62890225068533e-11,20.9310219693316,"Downregulated"
"PHKA1",0.771005018392185,7.11443654839034,8.04919763441833,8.06650564239561e-14,1.62890225068533e-11,20.9263470271264,"No"
"POU2AF2",-0.642401424015163,6.26724867579245,-8.04890351958486,8.08106016859995e-14,1.62890225068533e-11,20.9245980642728,"No"
"SLC17A9",0.823999647421079,8.48294721546914,8.04741515634506,8.15511290019688e-14,1.62890225068533e-11,20.9157479474744,"No"
"SORD",0.94058642990899,8.84023447845151,8.02595610313815,9.30057696285221e-14,1.83072855021426e-11,20.7882373718282,"No"
"PHF7",-0.714110855123699,6.73171563901775,-8.02510996954012,9.34886913596949e-14,1.83072855021426e-11,20.7832130450057,"No"
"MIER3",-1.07316080168402,9.35105254457781,-8.0188492566477,9.71399312804441e-14,1.87006874765658e-11,20.7460451540711,"Downregulated"
"SERF1B",-0.683465011831628,7.32583649673322,-8.01846234303102,9.73701560810477e-14,1.87006874765658e-11,20.7437486385586,"No"
"CXCL1",2.46374860463075,9.57402757886584,8.01666734470395,9.8445320294786e-14,1.87271126435053e-11,20.7330951888794,"Upregulated"
"LIPC",-0.604023590999834,4.38144559024672,-8.01140574221831,1.01665110372974e-13,1.91571595716017e-11,20.7018739689401,"No"
"EFNA1",-1.11253764596764,8.20793358430211,-8.00786136442419,1.03892625417309e-13,1.9393937383975e-11,20.6808481009456,"Downregulated"
"BMAL2",1.22500159172283,7.51388606217125,8.00117334500503,1.08228255503765e-13,2.00162145873352e-11,20.6411861363372,"Upregulated"
"JAK2",0.836781830519816,8.47717093151118,7.99740569971608,1.10749103567083e-13,2.01563803013828e-11,20.6188500916605,"No"
"RUNDC3B",-1.34255733100751,6.57354033781431,-7.99599105841648,1.11710548599514e-13,2.01563803013828e-11,20.61046490181,"Downregulated"
"MROH7",-0.600186129928142,6.70556079091272,-7.99554776070217,1.12013528259412e-13,2.01563803013828e-11,20.6078374360938,"No"
"HOXA6",-1.25336768611341,7.84540395811834,-7.99383203930961,1.13193856988146e-13,2.0186911602511e-11,20.5976688804625,"Downregulated"
"APPL1",-0.539904465829117,9.15209475976234,-7.99172022929529,1.14663595331592e-13,2.02680588774621e-11,20.5851543142518,"No"
"MT1IP",-0.774865755114448,6.83018147227733,-7.99017138155879,1.15753530707504e-13,2.02812370381727e-11,20.5759768996377,"No"
"LPIN1",0.779910313457253,8.66926221520091,7.96748119507143,1.32947991328004e-13,2.30913319894396e-11,20.4416316887765,"No"
"P2RY1",-0.776431321852915,7.53992416296789,-7.96422329224199,1.35616071648467e-13,2.33516846129868e-11,20.422357746238,"No"
"ARMCX3",0.539977089789185,7.04373185804669,7.96224343911103,1.37263312541267e-13,2.34333111512757e-11,20.4106467399587,"No"
"NUCB2",1.07129028299163,8.69555508991236,7.96038225887229,1.38829875679669e-13,2.34998977697094e-11,20.3996390186937,"Upregulated"
"HSP90B1",0.593987088381983,12.1981617881253,7.95537273304142,1.43134905976392e-13,2.4025013545987e-11,20.3700171763371,"No"
"SLC19A3",-1.38182541678905,7.07296483385485,-7.94853098523768,1.49228739740887e-13,2.48391237298707e-11,20.3295762666308,"Downregulated"
"FBXO16",1.06961981116327,6.26156869083921,7.92775620458139,1.69350954493087e-13,2.79555038433465e-11,20.2068853315176,"Upregulated"
