"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"IFI16",1.15794255000161,8.93034433343276,7.00426039850417,3.93929993558834e-11,2.25454375110148e-09,14.9285634411266,"Upregulated"
"OSMR",1.9360250262937,8.10449093586467,6.98455771115121,4.40740972359561e-11,2.47285398368255e-09,14.8199867893504,"Upregulated"
"TM4SF18",1.13277539550497,7.00542102071794,6.9399934356194,5.67799392047764e-11,3.10718494705809e-09,14.5750731341711,"Upregulated"
"HLA-DPB1",1.01660081588456,9.72547436970635,6.93611448821277,5.80432440443373e-11,3.14188551908291e-09,14.5537995641379,"Upregulated"
"PITPNC1",1.16004932851686,8.37108481010086,6.93452230849731,5.85697719618963e-11,3.14587419620125e-09,14.545069519151,"Upregulated"
"S100A8",3.06322042323192,8.32442954943548,6.9212501174894,6.31459824380886e-11,3.34556459739624e-09,14.4723436108189,"Upregulated"
"IGHA1",1.41993150854501,10.9698644078112,6.90900514035148,6.76795882070848e-11,3.5388274734249e-09,14.4053202556372,"Upregulated"
"CDH11",1.26611737009368,8.56577955969954,6.898563406079,7.17978323578539e-11,3.72490884030071e-09,14.348223162724,"Upregulated"
"FLT1",1.18620560743209,6.6641015071899,6.88793491134703,7.6243197921725e-11,3.90482470586804e-09,14.2901580350583,"Upregulated"
"PTGS2",2.51887698000349,7.9081681584768,6.88006249412031,7.97096205739898e-11,4.02050495289109e-09,14.2471844617839,"Upregulated"
"C4A",1.35143148137821,8.15144209205801,6.87291826294851,8.29895398927569e-11,4.17539816075045e-09,14.2082114616432,"Upregulated"
"SLC7A5",1.19131639385771,8.27853064006389,6.85820547994722,9.01687285763225e-11,4.46167490751627e-09,14.1280275759902,"Upregulated"
"IGKV1D-13",1.6408601213273,8.82085002910349,6.85610602997198,9.12418402508156e-11,4.49991238807356e-09,14.1165941353018,"Upregulated"
"LAMC1",1.12375676146305,8.60702511203137,6.84487462453766,9.71999200474522e-11,4.75850785055836e-09,14.0554646940526,"Upregulated"
"WNT5A",1.67542344332825,7.3464215951835,6.83978045714162,1.00027095403984e-10,4.8611708116768e-09,14.0277585221431,"Upregulated"
"IGKC",1.75639793914976,10.5734972319449,6.83109918368237,1.05032851848388e-10,5.07972441360703e-09,13.9805715631014,"Upregulated"
"KDR",1.26421402889689,7.54592126595541,6.82884277578338,1.06373832431661e-10,5.12113238392411e-09,13.9683128299071,"Upregulated"
"SELP",1.71664885345538,7.2192918376635,6.82486591646456,1.08778450503755e-10,5.1855388314129e-09,13.9467131142171,"Upregulated"
"HEG1",1.19766879599936,8.34406818147427,6.81928813401839,1.12241515316244e-10,5.31258774153238e-09,13.9164310867,"Upregulated"
"ACSL4",1.72823068270094,7.7812427234289,6.81475025219698,1.15138860891767e-10,5.4368406795559e-09,13.8918058154365,"Upregulated"
"CXCL11",2.22382367029485,7.61522030195822,6.75802783257665,1.58203056640177e-10,7.03774577579263e-09,13.584839347917,"Upregulated"
"ICAM1",1.60096951200359,8.90456865515192,6.74752607532071,1.6776057660592e-10,7.39090350523566e-09,13.5281788873838,"Upregulated"
"CALU",1.01557917406784,8.79907125848468,6.73418392437586,1.80726524467271e-10,7.83043730956456e-09,13.4562716074701,"Upregulated"
"COL6A3",1.62455889683193,8.83897507041471,6.71181047889228,2.04717806249626e-10,8.68159970707013e-09,13.3358869979526,"Upregulated"
"CDH5",1.16595341161523,8.29067064902677,6.69735088283025,2.21863239517513e-10,9.23228405442249e-09,13.2582159086647,"Upregulated"
"RIPK2",1.04479566787477,7.93195701203785,6.68689482591322,2.35134486795295e-10,9.74393410632618e-09,13.2021147620315,"Upregulated"
"PFKFB3",1.36729210206075,9.36258840228248,6.67630404463775,2.49372658181059e-10,1.02489083837623e-08,13.1453461302049,"Upregulated"
"SRPX2",1.09744411811387,7.11941313463118,6.67029952718257,2.57818518565829e-10,1.05525964955612e-08,13.1131855555654,"Upregulated"
"LYZ",1.00615877441114,12.4573605041086,6.65837167805416,2.75439594456477e-10,1.12278172646401e-08,13.0493525764343,"Upregulated"
"ADGRL4",1.72365493552797,7.44621761429268,6.64013280456983,3.04699502977575e-10,1.22950866110588e-08,12.9518831052572,"Upregulated"
"COL15A1",1.20352137491677,7.99476876027041,6.63932649900517,3.06061306918452e-10,1.2325138194333e-08,12.9475780138725,"Upregulated"
"TCN1",2.59388406352211,7.35201238975719,6.63069533938854,3.21019264307168e-10,1.28234209035611e-08,12.9015142771407,"Upregulated"
"ITGA5",1.55430132127725,8.78929983297976,6.6025638485753,3.74939878278527e-10,1.45689940781324e-08,12.7516392167843,"Upregulated"
"C1R",1.29252368105912,9.18804261734207,6.57968839727334,4.25273327924267e-10,1.63668775567617e-08,12.6300613433804,"Upregulated"
"CARD6",1.08735566787682,5.81925768487032,6.57486519672956,4.36705226695818e-10,1.6742322836895e-08,12.6044609990617,"Upregulated"
"ANKRD22",1.61970504590689,8.17936212242709,6.55582816869267,4.84852117367958e-10,1.83161761548177e-08,12.5035327669199,"Upregulated"
"IRAK3",1.71620729710048,7.21535886596069,6.5557374995945,4.85093480819994e-10,1.83161761548177e-08,12.5030525103044,"Upregulated"
"CYYR1",1.16526059756211,7.81166544740524,6.544661540061,5.1548430617349e-10,1.93176051247829e-08,12.4444168833516,"Upregulated"
"MMP12",2.47759964138756,9.40546892090734,6.52061880943995,5.88042469916459e-10,2.16308661033358e-08,12.3173518692442,"Upregulated"
"SERPINB5",1.90469558102371,8.49605875016514,6.51927491466402,5.92381995463529e-10,2.1710528398878e-08,12.3102581846793,"Upregulated"
"S100P",1.68183928661013,9.10752931033264,6.47982396150932,7.3478938168775e-10,2.56137576087803e-08,12.1024329426038,"Upregulated"
"CLDN1",1.6674051998616,8.03091519325506,6.46790572758324,7.84080409035404e-10,2.69556318245665e-08,12.0398067314861,"Upregulated"
"CATSPERB",1.38560896270396,6.89526029922735,6.46706106430323,7.87694530289943e-10,2.70333514570641e-08,12.0353711146884,"Upregulated"
"CXCL8",2.41798695269102,8.39297049792079,6.46633794467664,7.90801598839622e-10,2.7093432478941e-08,12.0315740597994,"Upregulated"
"TMTC1",1.00634240820865,6.58990580903543,6.46523696442623,7.95555387710988e-10,2.72096289625673e-08,12.0257934046829,"Upregulated"
"SAA2",1.71063285459501,7.16890226405353,6.46295862765148,8.05482113863241e-10,2.74551190141713e-08,12.0138330844203,"Upregulated"
"FSTL1",1.42184584454357,9.08112889425636,6.44799584510263,8.73767851441872e-10,2.94961304439293e-08,11.9353518193602,"Upregulated"
"CDH3",1.93340418257034,7.90625173403003,6.43962504285648,9.14418886989764e-10,3.07116642646737e-08,11.8914970429643,"Upregulated"
"LOC102724971",1.79254999856062,9.53111657868734,6.43550665213866,9.35095460063627e-10,3.11293278655181e-08,11.8699341528227,"Upregulated"
"ENG",1.12812347489844,9.34760298195019,6.43002475848047,9.63331742796485e-10,3.18042780671355e-08,11.8412460506437,"Upregulated"
"IER3",1.25068720903507,9.92194750794807,6.3978356838815,1.14684629515939e-09,3.71265930300061e-08,11.6731105335513,"Upregulated"
"ADGRL2",1.35108433578809,7.87221543769052,6.39563319307031,1.16058895068272e-09,3.72930651410562e-08,11.6616260119086,"Upregulated"
"COL4A1",1.26417884594272,7.94562076054011,6.39506053210882,1.16418854357372e-09,3.72930651410562e-08,11.6586403853032,"Upregulated"
"SLC28A3",1.00204411728762,7.496850844062,6.39446685089753,1.16793184262853e-09,3.72930651410562e-08,11.6555453499147,"Upregulated"
"CCL2",1.78937548636278,8.97651578482327,6.39361252390959,1.17333933270676e-09,3.73189169291159e-08,11.6510918171468,"Upregulated"
"AQP9",2.58700374283285,7.35418729681027,6.38590620205501,1.2232415449679e-09,3.85987782293662e-08,11.6109368220781,"Upregulated"
"FKBP10",1.04734835053391,8.40211407388363,6.36770699640679,1.3495135913134e-09,4.20040607052709e-08,11.5162315456041,"Upregulated"
