"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"SCIN",-1.54153485745574,8.74434292093941,-5.75902994587183,3.25555499985089e-08,6.21074074183588e-07,8.45378634436819,"Downregulated"
"FAM151A",-1.24321392581864,7.31170251317206,-5.75590288040419,3.30746904133019e-08,6.27978960375753e-07,8.43860056732131,"Downregulated"
"PRKG2",-2.30686550789868,6.29861590042811,-5.73026500302575,3.76473565149904e-08,7.02774111243381e-07,8.31431615916953,"Downregulated"
"FMO5",-1.3372404939296,9.08879547529864,-5.72064212548344,3.95184913636984e-08,7.30196435243767e-07,8.26776856393754,"Downregulated"
"LRRC19",-1.38548254147435,8.30565600197253,-5.71570721050919,4.05130131555286e-08,7.45812833888044e-07,8.2439189467772,"Downregulated"
"HNF1A-AS1",-1.28782876416766,8.08091498363189,-5.63400341154508,6.10111504276396e-08,1.06761191533782e-06,7.85118431274882,"Downregulated"
"CHP2",-1.76889729238479,8.61136214475184,-5.60107542891138,7.18770269243511e-08,1.22497588377729e-06,7.69404737005261,"Downregulated"
"MAOA",-1.21075785428364,9.88618056377672,-5.51925246753698,1.07710445193591e-07,1.70341126864353e-06,7.30644872294592,"Downregulated"
"UGT1A1",-1.2211765316881,7.52928509887489,-5.47381435337326,1.34604116277959e-07,2.05235314392058e-06,7.09299147756775,"Downregulated"
"NHERF4",-1.11075166736616,7.76472336138603,-5.45219515020941,1.49597919820696e-07,2.22492096090736e-06,6.9918809649095,"Downregulated"
"DHRS11",-1.53557902091062,10.3539020896611,-5.41708823044752,1.77478577652284e-07,2.57787823216422e-06,6.82831340714195,"Downregulated"
"TMEM37",-1.18863288314584,9.91095181782193,-5.40332309691928,1.89739697746865e-07,2.72651850560855e-06,6.76439134666577,"Downregulated"
"CMBL",-1.01876493269965,9.8286082446248,-5.39897432657882,1.93782031678998e-07,2.7726377512581e-06,6.74422150466624,"Downregulated"
"PCK1",-2.27079934551305,8.83912097405304,-5.37165676723653,2.21161322270354e-07,3.09433015745069e-06,6.61779448244765,"Downregulated"
"CYP2S1",-1.05992593983477,9.9425136274647,-5.33528004551235,2.63529776804571e-07,3.57591288172181e-06,6.45017612840949,"Downregulated"
"ALDOC",-1.03144539206969,8.42536157939555,-5.27385780552512,3.53633494660796e-07,4.57775464831804e-06,6.16907030259184,"Downregulated"
"PRLR",-1.23311764793585,7.46714759073352,-5.26901526071944,3.61892744768641e-07,4.65461688534412e-06,6.14701090233912,"Downregulated"
"TMT1B",-1.14090015963653,9.32823396485249,-5.20150451603229,4.9853710444457e-07,6.11281775578627e-06,5.84105707073512,"Downregulated"
"SLC35G1",-1.25951736632402,8.37298404912174,-5.18241537677622,5.45517221660833e-07,6.58776359459098e-06,5.75508382468945,"Downregulated"
"UGT2A3",-2.40829566636882,7.17117000536126,-5.16034083309755,6.05217533012363e-07,7.19132361950561e-06,5.65596206046675,"Downregulated"
"SLC51A",-1.722142260255,8.06922927798665,-5.12703326564965,7.07476649927811e-07,8.23492925737652e-06,5.50700589093083,"Downregulated"
"A1CF",-1.12435573447681,9.7651886668702,-5.10607239906769,7.80230139236348e-07,8.87995259322325e-06,5.4136407867897,"Downregulated"
"CAPN13",-1.48539276195631,7.87717571974355,-5.09707900830802,8.13626029330959e-07,9.21279269266246e-06,5.37367097735529,"Downregulated"
"CHN2",-1.16507400078098,8.83398740535132,-5.03541234465821,1.08299923008564e-06,1.17820406436441e-05,5.10105013228084,"Downregulated"
"NAALADL1",-1.98290876206399,8.36205969017897,-5.02454929740435,1.13866875070572e-06,1.22939295278897e-05,5.05328878093743,"Downregulated"
"CYP4F12",-1.07048329502036,7.99914819002508,-5.01856343871933,1.17051977853167e-06,1.25766337043526e-05,5.02700465549972,"Downregulated"
"PIGZ",-1.19158769721187,7.88804869452903,-4.96492874547869,1.49721616000779e-06,1.550305628823e-05,4.79256780095171,"Downregulated"
"AQP8",-2.17496700763836,7.4205074742679,-4.88948037109553,2.11003940255603e-06,2.07717728076166e-05,4.46608030871648,"Downregulated"
"GRAMD1C",-1.01740377026278,7.17129987864411,-4.87663825071566,2.23610077286055e-06,2.17766342453031e-05,4.41089522042495,"Downregulated"
"SLC1A1",-1.23580068745764,9.4464363431257,-4.86696698471203,2.33581616196763e-06,2.25935070310612e-05,4.36941050957513,"Downregulated"
"NAT8B",-1.63804425428882,7.7403350127608,-4.84257703169739,2.60676929285387e-06,2.46765923485608e-05,4.26507556930352,"Downregulated"
"BEST4",-1.23235140617038,8.06026706019192,-4.80005025338215,3.15355628996098e-06,2.88016156084502e-05,4.08413622437117,"Downregulated"
"FLVCR1",-1.35997126589492,8.27332847735795,-4.79731032080207,3.19235200864533e-06,2.91293006033265e-05,4.07252149355446,"Downregulated"
"SLC39A5",-1.29580536721878,10.0359776409512,-4.78914766921757,3.3106837201733e-06,3.00170661038318e-05,4.03795041211767,"Downregulated"
"ADIRF",-1.08979738606384,7.93451426822795,-4.72960289293525,4.31161752137739e-06,3.77389344311972e-05,3.78716494337406,"Downregulated"
"CYP2J2",-1.12707439647012,8.54651132771803,-4.71718722655025,4.55439589707802e-06,3.93977928316312e-05,3.73518587686884,"Downregulated"
"AQP11",-1.20350734259361,7.43963926359416,-4.71456922234509,4.60724779248695e-06,3.97516921845073e-05,3.724239217582,"Downregulated"
"BTNL8",-1.12970732854325,8.33763739229042,-4.68984101079922,5.13655171031916e-06,4.33999508722144e-05,3.62108073086856,"Downregulated"
"ADH6",-1.17829328321564,7.97261045927093,-4.68735011625407,5.1930110837209e-06,4.37659086017895e-05,3.61071333900072,"Downregulated"
"TMEM236",-1.49560891831354,9.33782949515118,-4.68333096420298,5.28537509243548e-06,4.43982329927797e-05,3.59399438137867,"Downregulated"
"SLC3A1",-1.47271109828104,7.72494109153878,-4.67123577230025,5.57299618366141e-06,4.64586918916748e-05,3.54374927064876,"Downregulated"
"CLDN8",-1.95962560598855,5.45540535601962,-4.64832220584346,6.15980786590319e-06,5.04034139352384e-05,3.44884655200053,"Downregulated"
"MEP1A",-1.56695617958383,11.0287079235893,-4.64726190983647,6.18835651987046e-06,5.05133768401686e-05,3.4444640466463,"Downregulated"
"EPHX2",-1.12082548044739,7.7866057914405,-4.62321140285869,6.87126703766116e-06,5.51412968301503e-05,3.34527068851621,"Downregulated"
"SLC5A11",-1.19225656067069,6.64299157587784,-4.60980954153716,7.28275036054481e-06,5.81629970817761e-05,3.29017473952517,"Downregulated"
"SLC13A1",-2.52220101845922,5.58345739586188,-4.58641006701967,8.05877111549793e-06,6.30497039800062e-05,3.19428484911138,"Downregulated"
"CYP4F2",-1.74700192457015,7.82030107002799,-4.5851677206258,8.10212514870042e-06,6.33144944132012e-05,3.18920470553464,"Downregulated"
"SULT1A2",-1.35758618467164,9.1283877807206,-4.5668817348538,8.76683221800314e-06,6.75052840101753e-05,3.11455828250521,"Downregulated"
"SLC22A4",-1.0351830485507,7.17496107214293,-4.55850450792002,9.08860522978302e-06,6.96339857536195e-05,3.08044107138239,"Downregulated"
"SLC16A9",-1.35817534278461,6.32208122808965,-4.52364577143743,1.05538909352698e-05,7.90117756900594e-05,2.93901636297383,"Downregulated"
"PBLD",-1.43506036363222,8.59868549723246,-4.52155552885387,1.06486259656367e-05,7.95718874065196e-05,2.93056388547739,"Downregulated"
"LGALS2",-1.0577853762237,8.66954981289605,-4.47324035573908,1.3080815534292e-05,9.48026884912732e-05,2.73606828518879,"Downregulated"
"PRAP1",-1.01205918792763,8.29567903265358,-4.36429015816536,2.06779302428852e-05,0.000140578958022937,2.30372121602977,"Downregulated"
"SLC9A3",-1.07184062364071,9.45578045157617,-4.35399238607991,2.15832645992548e-05,0.000145152904749332,2.26330707803519,"Downregulated"
"ZG16",-1.47725885858522,9.97450593806416,-4.34789700110273,2.2136929757867e-05,0.000148128319927516,2.23942229025715,"Downregulated"
"AKR1B10",-1.26166462970132,9.33547786379777,-4.34046418517903,2.28305240783049e-05,0.000152005629313354,2.2103339115222,"Downregulated"
"PTGR1",-1.14793442693962,8.42290882181989,-4.32002687129231,2.48467222874796e-05,0.000163629551918931,2.1305630202717,"Downregulated"
